challenge_id,class
TRAIN047735,gradeable
TRAIN097620,gradeable
TRAIN096133,gradeable
TRAIN053072,gradeable
TRAIN052503,gradeable
TRAIN074952,gradeable
TRAIN088554,gradeable
TRAIN082806,gradeable
TRAIN055219,gradeable
TRAIN093853,gradeable
TRAIN035364,gradeable
TRAIN014830,gradeable
TRAIN068143,gradeable
TRAIN013159,gradeable
TRAIN089478,gradeable
TRAIN078549,gradeable
TRAIN021720,gradeable
TRAIN076297,gradeable
TRAIN079781,gradeable
TRAIN006745,gradeable
TRAIN009791,gradeable
TRAIN067948,gradeable
TRAIN043151,gradeable
TRAIN006967,gradeable
TRAIN082001,gradeable
TRAIN097829,gradeable
TRAIN089623,gradeable
TRAIN096266,gradeable
TRAIN020753,gradeable
TRAIN026540,gradeable
TRAIN011171,gradeable
TRAIN039683,gradeable
TRAIN045391,gradeable
TRAIN020659,gradeable
TRAIN020323,gradeable
TRAIN015460,gradeable
TRAIN074860,gradeable
TRAIN028681,gradeable
TRAIN086380,gradeable
TRAIN059911,gradeable
TRAIN058328,gradeable
TRAIN049672,gradeable
TRAIN010415,gradeable
TRAIN000493,gradeable
TRAIN027115,gradeable
TRAIN081085,gradeable
TRAIN013219,gradeable
TRAIN082716,gradeable
TRAIN095580,gradeable
TRAIN076423,gradeable
TRAIN081325,gradeable
TRAIN018050,gradeable
TRAIN075955,gradeable
TRAIN086599,gradeable
TRAIN034194,gradeable
TRAIN048367,gradeable
TRAIN055925,gradeable
TRAIN100969,gradeable
TRAIN070245,gradeable
TRAIN097844,gradeable
TRAIN050241,gradeable
TRAIN026563,gradeable
TRAIN015719,gradeable
TRAIN065202,gradeable
TRAIN012427,gradeable
TRAIN026821,gradeable
TRAIN001932,gradeable
TRAIN007849,gradeable
TRAIN038730,gradeable
TRAIN056231,gradeable
TRAIN096866,gradeable
TRAIN052534,gradeable
TRAIN085299,gradeable
TRAIN065997,gradeable
TRAIN051582,gradeable
TRAIN063761,gradeable
TRAIN098865,gradeable
TRAIN001449,gradeable
TRAIN076052,gradeable
TRAIN010994,gradeable
TRAIN013376,gradeable
TRAIN039034,gradeable
TRAIN002687,gradeable
TRAIN000243,gradeable
TRAIN035231,gradeable
TRAIN045057,gradeable
TRAIN018977,gradeable
TRAIN096503,gradeable
TRAIN009743,gradeable
TRAIN060030,gradeable
TRAIN022085,gradeable
TRAIN034819,gradeable
TRAIN079123,gradeable
TRAIN006775,gradeable
TRAIN001243,gradeable
TRAIN069323,gradeable
TRAIN045777,gradeable
TRAIN072445,gradeable
TRAIN021139,gradeable
TRAIN088195,gradeable
TRAIN063996,gradeable
TRAIN097724,gradeable
TRAIN076098,gradeable
TRAIN044376,gradeable
TRAIN018454,gradeable
TRAIN082718,gradeable
TRAIN056167,gradeable
TRAIN073565,gradeable
TRAIN082383,gradeable
TRAIN069740,gradeable
TRAIN021794,gradeable
TRAIN038655,gradeable
TRAIN030373,gradeable
TRAIN037921,gradeable
TRAIN069445,gradeable
TRAIN022755,gradeable
TRAIN063038,gradeable
TRAIN071850,gradeable
TRAIN017883,gradeable
